Mot n°	form	Variante de lemme	lemma	pos	Constellation	Mode Validation	#	A	Ai	Ao	Aq	C	Cc	Cs	D	Da	Dd	Di	Dn	Dp	Dr	Ds	Dt	E	F	Fs	Fw	I	Nc	Np	OUT	P	PAGa	PAGe	Pd	Pi	Pp	Pr	Ps	Pt	R	S	S+D	S+Da	S+Dr	S+Pr	V	Vu	Vuc	Vun	Vvc	Vvn	X	Xe	Xp	Xs	Z	Zc	Zo	Inconnu
3680	povreté	PAUVRETÉ	PAUVRETÉ	Nc		VM/DS																							PAUVRETÉ																															
3681	.	.	.	Fs		VM/DS																				.																																		
3682	Car	CAR	CAR	Cc		VM/DS							CAR																CAR																															
3683	en	EN	EN	S		VM/DS																															EN					EN													EN					
3684	vivant	VIVRE	VIVRE	PAGa		VM/DS																							VIVANT				VIVRE																											
3685	sans	SANS	SANS	S		VM/DS																																				SANS																		
3686	avoir	AVOIR	AVOIR	Vun		VM/DS																																										AVOIR	AVOIR	AVOIR										
3687	soing	SOIN	SOIN	Nc		VM/DS																							SOIN																															
3688	0	0	0	Fw		VM/DS																					0																																	
3689	ny	NI	NI	Cc		VM/DS							NI																																															
3690	cure	CURE	CURE	Nc		VM/DS																							CURE																						CURER									
3691	0	0	0	Fw		VM/DS																					0																																	
3692	Comme	COMME	COMME	Cs		VM/DS							COMME	COMME																											COMME	COMME																		
3693	tu	IL	IL	Pp		VM/DS																															IL																							
3694	fais	FAIRE	FAIRE	Vvc		VM/DS																																													FAIRE									
3695	0	0	0	Fw		VM/DS																					0																																	
3696	paresse	PARESSE	PARESSE	Nc		VM/DS																							PARESSE																						PARESSER									
3697	adonc	ADONC	ADONC	R		VM/DS																																			ADONC																			
3698	procure	PROCURER	PROCURER	Vvc		VM/DS																							PROCURE																						PROCURER									
3699	0	0	0	Fw		VM/DS																					0																																	
3700	Et	ET	ET	Cc		VM/DS							ET																																															
3701	te	LE	LE	Pp		VM/DS																															LE																							
3702	contraint	CONTRAINDRE	CONTRAINDRE	Vvc		VM/DS																																													CONTRAINDRE									
3703	à	À	À	S		VM/DS																																				À																		
3704	vainement	VAINEMENT	VAINEMENT	R		VM/DS																																			VAINEMENT																			
3705	aymer	AIMER	AIMER	Vvn		VM/DS																																														AIMER								
3706	0	0	0	Fw		VM/DS																					0																																	
3707	Dont	QUE	QUE	Pr		VM/DS																																QUE																						
3708	tu	IL	IL	Pp		VM/DS																															IL																							
3709	ne	NE	NE	R		VM/DS																																			NE																			
3710	peux	POUVOIR	POUVOIR	Vvc		VM/DS																																													POUVOIR									
3711	tirer	TIRER	TIRER	Vvn		VM/DS																																														TIRER								
3712	que	QUE	QUE	R		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3713	fruit	FRUIT	FRUIT	Nc		VM/DS																							FRUIT																															
3714	amer	AMER	AMER	Aq		VM/DS					AMER																																																	
3715	.	.	.	Fs		VM/DS																				.																																		
3716	Que	QUE	QUE	Pi		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3717	t'	LE	LE	Pp		VM/DS																															LE																							
3718	ont	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
3719	valu	VALOIR	VALOIR	PAGe		VM/DS																												VALOIR																										
3720	tes	SON	SON	Ds		VM/DS																SON																																						
3721	vains	VAIN	VAIN	Aq		VM/DS					VAIN																																																	
3722	experiments	EXPÉRIMENT	EXPÉRIMENT	Nc		VM/DS																							EXPÉRIMENT				EXPRIMER																		EXPRIMER									
3723	Pour	POUR	POUR	S		VM/DS																																				POUR																		
3724	te	LE	LE	Pp		VM/DS																															LE																							
3725	guerir	GUÉRIR	GUÉRIR	Vvn		VM/DS																																														GUÉRIR								
3726	0	0	0	Fw		VM/DS																					0																																	
3727	sinon	SINON	SINON	S		VM/DS							SINON	SINON																												SINON																		
3728	maints	MAINT	MAINT	Di		VM/DS					MAINT							MAINT																																										
3729	detriments	DÉTRIMENT	DÉTRIMENT	Nc		VM/DS																							DÉTRIMENT																															
3730	0	0	0	Fw		VM/DS																					0																																	
3731	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
3732	ont	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
3733	ton	SON	SON	Ds		VM/DS																SON																																						
3734	corps	CORPS	CORPS	Nc		VM/DS																							CORPS																															
3735	mis	METTRE	METTRE	PAGe		VM/DS																												METTRE																	METTRE									
3736	en	EN	EN	S		VM/DS																															EN					EN													EN					
3737	plus	PLUS	PLUS	R		VM/DS																																			PLUS																			
3738	grand'	GRAND	GRAND	Aq		VM/DS					GRAND																																																	
3739	destresse	DÉTRESSE	DÉTRESSE	Nc		VM/DS																							DÉTRESSE																															
3740	?	?	?	Fs		VM/DS																				?																																		
3741	Car	CAR	CAR	Cc		VM/DS							CAR																CAR																															
3742	avec	AVEC	AVEC	S		VM/DS																																				AVEC																		
3743	toy	LE	LE	Pp		VM/DS																															LE																							
3744	tu	IL	IL	Pp		VM/DS																															IL																							
3745	as	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
3746	encor	ENCORE	ENCORE	R		VM/DS																																			ENCORE																			
3747	paresse	PARESSE	PARESSE	Nc		VM/DS																							PARESSE																						PARESSER									
3748	0	0	0	Fw		VM/DS																					0																																	
3749	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
3750	de	DE	DE	S		VM/DS													UN	DU																						DE																		
3751	ton	SON	SON	Ds		VM/DS																SON																																						
3752	mal	MAL	MAL	Nc		VM/DS																							MAL																															
3753	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3754	premier	PREMIER	PREMIER	Zo		VM/DS					PREMIER																		PREMIER																														PREMIER	
3755	fondement	FONDEMENT	FONDEMENT	Nc		VM/DS																							FONDEMENT																															
3756	0	0	0	Fw		VM/DS																					0																																	
3757	Et	ET	ET	Cc		VM/DS							ET																																															
3758	qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
3759	te	LE	LE	Pp		VM/DS																															LE																							
3760	toult	TOUDRE	TOUDRE	Vvc		VM/DS					TOUT																																								TOUDRE									
3761	sens	SENS	SENS	Nc		VM/DS																							SENS																															
3762	0	0	0	Fw		VM/DS																					0																																	
3763	&	ET	ET	Cc		VM/DS							ET																																															
3764	entendement	ENTENDEMENT	ENTENDEMENT	Nc		VM/DS																							ENTENDEMENT																															
3765	.	.	.	Fs		VM/DS																				.																																		
3766	Il	IL	IL	Pp		VM/DS																															IL																							
3767	te	LE	LE	Pp		VM/DS																															LE																							
3768	fault	FALLOIR	FALLOIR	Vvc		VM/DS																																													FALLOIR									
3769	donc	DONC	DONC	R		VM/DS																																			DONC																			
3770	prendre	PRENDRE	PRENDRE	Vvn		VM/DS																																														PRENDRE								
3771	le	LE	LE	Da		VM/DS										LE																					LE																							
3772	frein	FREIN	FREIN	Nc		VM/DS																							FREIN																															
3773	aux	A+LES	A+LES	S+Da		VM/DS																																				À+LES		A+LES																
3774	dents	DENT	DENT	Nc		VM/DS																							DENT																															
3775	Pour	POUR	POUR	S		VM/DS																																				POUR																		
3776	eviter	ÉVITER	ÉVITER	Vvn		VM/DS																																														ÉVITER								
3777	les	LE	LE	Da		VM/DS										LE																					LE																							
3778	perilz	PÉRIL	PÉRIL	Nc		VM/DS																							PÉRIL																															
3779	evidents	ÉVIDENT	ÉVIDENT	Aq		VM/DS					ÉVIDENT																																																	
3780	0	0	0	Fw		VM/DS																					0																																	
3781	Ou	QUE	QUE	Pr		VM/DS							OU																									QUE			OU																			
3782	tu	IL	IL	Pp		VM/DS																															IL																							
3783	vas	ALLER	ALLER	Vvc		VM/DS																																													ALLER									
3784	cheoir	CHOIR	CHOIR	Vvn		VM/DS																							CHAIR																							CHOIR								
3785	seul	SEUL	SEUL	Aq		VM/DS					SEUL																																																	
3786	en	EN	EN	S		VM/DS																															EN					EN													EN					
3787	ceste	CE	CE	Dd		VM/DS											CE												CESTE																															
3788	campaigne	CAMPAGNE	CAMPAGNE	Nc		VM/DS																							CAMPAGNE																															
3789	.	.	.	Fs		VM/DS																				.																																		
3790	Vien	VENIR	VENIR	Vvn		VM/DS																																													VENIR	VENIR								
3791	travailler	TRAVAILLER	TRAVAILLER	Vvn		VM/DS																																														TRAVAILLER								
3792	lassus	LASSUS	LASSUS	R		VM/DS																							LASSO												LASSUS										LASSER/LACER/LASSER/LAISSER			_MOT_ETRANGER						
3793	en	EN	EN	S		VM/DS																															EN					EN													EN					
3794	la	LE	LE	Da		VM/DS										LE																					LE																							
3795	montaigne	MONTAGNE	MONTAGNE	Nc		VM/DS																							MONTAGNE																															
3796	.	.	.	Fs		VM/DS																				.																																		
3797	Et	ET	ET	Cc		VM/DS							ET																																															
3798	ne	NE	NE	R		VM/DS																																			NE																			
3799	crains	CRAINDRE	CRAINDRE	Vvc		VM/DS																																													CRAINDRE									
3800	point	POINT	POINT	R		VM/DS																							POINT												POINT																			
3801	que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3802	pour	POUR	POUR	S		VM/DS																																				POUR																		
3803	voir	VOIR	VOIR	Vvn		VM/DS																																														VOIR								
3804	ta	SON	SON	Ds		VM/DS																SON																																						
3805	maistresse	MAÎTRESSE	MAÎTRESSE	Nc		VM/DS																							MAÎTRESSE																															
3806	Ta	SON	SON	Ds		VM/DS																SON																																						
3807	douleur	DOULEUR	DOULEUR	Nc		VM/DS																							DOULEUR																															
3808	vienne	VENIR	VENIR	Vvc		VM/DS																																													VENIR									
3809	à	À	À	S		VM/DS																																				À																		
3810	plus	PLUS	PLUS	R		VM/DS																																			PLUS																			
3811	grande	GRAND	GRAND	Aq		VM/DS					GRAND																																																	
3812	destresse	DÉTRESSE	DÉTRESSE	Nc		VM/DS																							DÉTRESSE																															
3813	.	.	.	Fs		VM/DS																				.																																		
3814	Car	CAR	CAR	Cc		VM/DS							CAR																																															
3815	destournant	DÉTOURNER	DÉTOURNER	PAGa		VM/DS																											DÉTOURNER																											
3816	ailleurs	AILLEURS	AILLEURS	R		VM/DS																																			AILLEURS																			
3817	ton	SON	SON	Ds		VM/DS																SON																																						
3818	pensement	PENSEMENT	PENSEMENT	Nc		VM/DS																							PENSEMENT																															
3819	Et	ET	ET	Cc		VM/DS							ET																																															
3820	travaillant	TRAVAILLER	TRAVAILLER	PAGa		VM/DS																											TRAVAILLER																											
3821	labourieusement	LABORIEUSEMENT	LABORIEUSEMENT	R		VM/DS																																			LABORIEUSEMENT																			
3822	0	0	0	Fw		VM/DS																					0																																	
3823	Sans	SANS	SANS	S		VM/DS																																				SANS																		
3824	grande	GRAND	GRAND	Aq		VM/DS					GRAND																																																	
3825	peine	PEINE	PEINE	Nc		VM/DS																							PEINE																															
3826	0	0	0	Fw		VM/DS																					0																																	
3827	&	ET	ET	Cc		VM/DS							ET																																															
3828	tost	TÔT	TÔT	R		VM/DS																																			TÔT																			
3829	l'	LE	LE	Pp		VM/DS										LE																					LE																							
3830	oublieras	OUBLIER	OUBLIER	Vvc		VM/DS																																													OUBLIER									
3831	0	0	0	Fw		VM/DS																					0																																	
3832	Et	ET	ET	Cc		VM/DS							ET																																															
3833	de	DE	DE	S		VM/DS													UN	DU																						DE																		
3834	ses	SON	SON	Ds		VM/DS																SON																																						
3835	faits	FAIT	FAIT	Nc		VM/DS																							FAIT																															
3836	0	0	0	Fw		VM/DS																					0																																	
3837	&	ET	ET	Cc		VM/DS							ET																																															
3838	des	DE+LES	DE+LES	S+Da		VM/DS													UN	DU																						DÈS	DE+LES	DE+LES																
3839	tiens	TENIR	TENIR	Vvc		VM/DS																																													TENIR									
3840	tu	IL	IL	Pp		VM/DS																															IL																							
3841	riras	RIRE	RIRE	Vvc		VM/DS																																													RIRE									
3842	.	.	.	Fs		VM/DS																				.																																		
3843	Et	ET	ET	Cc		VM/DS							ET																																															
3844	pourroit	POUVOIR	POUVOIR	Vvc		VM/DS																																													POUVOIR									
3845	estre	ÊTRE	ÊTRE	Vun		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3846	encor	ENCORE	ENCORE	R		VM/DS																																			ENCORE																			
3847	qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3848	elle	IL	IL	Pp		VM/DS																															IL																							
3849	auroit	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
3850	honte	HONTE	HONTE	Nc		VM/DS																							HONTE																															
3851	0	0	0	Fw		VM/DS																					0																																	
3852	Voyant	VOIR	VOIR	PAGa		VM/DS																							VOYANT				VOIR																											
3853	que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3854	plus	PLUS	PLUS	R		VM/DS																																			PLUS																			
3855	d'	DE	DE	S		VM/DS												DE	UN	DU																						DE																		
3856	elle	IL	IL	Pp		VM/DS																															IL																							
3857	ne	NE	NE	R		VM/DS																																			NE																			
3858	tiendras	TENIR	TENIR	Vvc		VM/DS																																													TENIR									
3859	compte	COMPTE	COMPTE	Nc		VM/DS																							COMPTE																															
3860	0	0	0	Fw		VM/DS																					0																																	
3861	Et	ET	ET	Cc		VM/DS							ET																																															
3862	par	PAR	PAR	S		VM/DS																																				PAR																		
3863	ce	CE	CE	Dd		VM/DS											CE																				CE																							
3864	point	POINT	POINT	Nc		VM/DS																							POINT																															
3865	qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3866	humble	HUMBLE	HUMBLE	Aq		VM/DS					HUMBLE																																																	
3867	elle	IL	IL	Pp		VM/DS																															IL																							
3868	deviendroit	DEVENIR	DEVENIR	Vvc		VM/DS																																													DEVENIR									
3869	0	0	0	Fw		VM/DS																					0																																	
3870	Dont	QUE	QUE	Pr		VM/DS																																QUE																						
3871	ton	SON	SON	Ds		VM/DS																SON																																						
3872	desir	DÉSIR	DÉSIR	Nc		VM/DS																							DÉSIR																															
3873	à	À	À	S		VM/DS																																				À																		
3874	sa	SON	SON	Ds		VM/DS																SON																																						
3875	fin	FIN	FIN	Nc		VM/DS																							FIN																															
3876	parviendroit	PARVENIR	PARVENIR	Vvc		VM/DS																																													PARVENIR									
3877	.	.	.	Fs		VM/DS																				.																																		
3878	Vien	VENIR	VENIR	Vvn		VM/DS																																													VENIR	VENIR								
3879	donc	DONC	DONC	R		VM/DS																																			DONC																			
3880	mettre	METTRE	METTRE	Vvn		VM/DS																																														METTRE								
3881	ordre	ORDRE	ORDRE	Nc		VM/DS																							ORDRE																															
3882	en	EN	EN	S		VM/DS																															EN					EN													EN					
3883	ton	SON	SON	Ds		VM/DS																SON																																						
3884	petit	PETIT	PETIT	Aq		VM/DS					PETIT																																																	
3885	mesnage	MÉNAGE	MÉNAGE	Nc		VM/DS																							MÉNAGE																															
3886	0	0	0	Fw		VM/DS																					0																																	
3887	Et	ET	ET	Cc		VM/DS							ET																																															
3888	fineras	FINIR	FINIR	Vvc		VM/DS																																													FINIR									
3889	en	EN	EN	S		VM/DS																															EN					EN													EN					
3890	liesse	LIESSE	LIESSE	Nc		VM/DS																							LIESSE																															
3891	ton	SON	SON	Ds		VM/DS																SON																																						
3892	aage	ÂGE	ÂGE	Nc		VM/DS																							ÂGE																															
3893	.	.	.	Fs		VM/DS																				.																																		
3894	*PHILERME	PHILERME	PHILERME	Np		VM/DS																								PHILERME																														
3895	Il	IL	IL	Pp		VM/DS																															IL																							
3896	t'	LE	LE	Pp		VM/DS																															LE																							
3897	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3898	facile	FACILE	FACILE	Aq		VM/DS					FACILE																																																	
3899	à	À	À	S		VM/DS																																				À																		
3900	faire	FAIRE	FAIRE	Vvn		VM/DS																																														FAIRE								
3901	0	0	0	Fw		VM/DS																					0																																	
3902	&	ET	ET	Cc		VM/DS							ET																																															
3903	bien	BIEN	BIEN	R		VM/DS																																			BIEN																			
3904	aysé	AISÉ	AISÉ	Aq		VM/DS					AISÉ																																																	
3905	0	0	0	Fw		VM/DS																					0																																	
3906	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
3907	as	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
3908	l'	LE	LE	Da		VM/DS										LE																					LE																							
3909	esprit	ESPRIT	ESPRIT	Nc		VM/DS																							ESPRIT																															
3910	à	À	À	S		VM/DS																																				À																		
3911	ton	SON	SON	Ds		VM/DS																SON																																						
3912	vueil	VEUIL	VEUIL	Aq		VM/DS					VEUIL																							VOIR																										
3913	appaisé	APAISER	APAISER	PAGe		VM/DS																												APAISER																										
3914	0	0	0	Fw		VM/DS																					0																																	
3915	Comme	COMME	COMME	S		VM/DS							COMME	COMME																											COMME	COMME																		
3916	celuy	CELUI	CELUI	Pd		VM/DS																													CELUI																									
3917	0	0	0	Fw		VM/DS																					0																																	
3918	qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
3919	de	DE	DE	S		VM/DS													UN	DU																						DE																		
3920	soy	LE	LE	Pp		VM/DS																															LE																							
3921	delibere	DÉLIBÉRER	DÉLIBÉRER	Vvc		VM/DS																																													DÉLIBÉRER									
3922	0	0	0	Fw		VM/DS																					0																																	
3923	Quand	QUAND	QUAND	Cs		VM/DS								QUAND																																														
3924	il	IL	IL	Pp		VM/DS																															IL																							
3925	se	LE	LE	Pp		VM/DS																															LE																							
3926	sent	SENTIR	SENTIR	Vvc		VM/DS																																													SENTIR									
3927	&	ET	ET	Cc		VM/DS							ET																																															
3928	coeur	CUR	CUR	Nc		VM/DS																							CUR																															
3929	&	ET	ET	Cc		VM/DS							ET																																															
3930	corps	CORPS	CORPS	Nc		VM/DS																							CORPS																															
3931	libere	LIBRE	LIBRE	Aq		VM/DS					LIBRE																																								LIBÉRER									
3932	.	.	.	Fs		VM/DS																				.																																		
3933	Làs	LÀS	LÀS	I		VM/DS					LAS																	LÀS													LÀ																			
3934	0	0	0	Fw		VM/DS																					0																																	
3935	que	QUE	QUE	Pi		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3936	me	LE	LE	Pp		VM/DS																															LE																							
3937	vault	VALOIR	VALOIR	Vvc		VM/DS																							VOLT																						VALOIR									
3938	0	0	0	Fw		VM/DS																					0																																	
3939	si	SI	SI	Cs		VM/DS								SI																											SI																			
3940	de	DE	DE	S		VM/DS													UN	DU																						DE																		
3941	mes	SON	SON	Ds		VM/DS																SON																																						
3942	ennemis	ENNEMI	ENNEMI	Nc		VM/DS					ENNEMI																		ENNEMI																															
3943	Je	IL	IL	Pp		VM/DS																															IL																							
3944	suis	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE		SUIVRE									
3945	navré	NAVRER	NAVRER	PAGe		VM/DS																												NAVRER																										
3946	0	0	0	Fw		VM/DS																					0																																	
3947	&	ET	ET	Cc		VM/DS							ET																																															
3948	puis	PUIS	PUIS	R		VM/DS							PUIS	PUIS																											PUIS										POUVOIR									
3949	en	EN	EN	S		VM/DS																															EN					EN													EN					
3950	seurté	SÛRETÉ	SÛRETÉ	Nc		VM/DS																							SÛRETÉ																															
3951	mis	METTRE	METTRE	PAGe		VM/DS																												METTRE																	METTRE									
3952	Je	IL	IL	Pp		VM/DS																															IL																							
3953	meurs	MOURIR	MOURIR	Vvc		VM/DS																																													MOURIR									
3954	0	0	0	Fw		VM/DS																					0																																	
3955	combien	COMBIEN	COMBIEN	R		VM/DS																																			COMBIEN																			
3956	qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3957	à	À	À	S		VM/DS																																				À																		
3958	vivre	VIVRE	VIVRE	Vvn		VM/DS																																														VIVRE								
3959	je	IL	IL	Pp		VM/DS																															IL																							
3960	m'	LE	LE	Pp		VM/DS																															LE																							
3961	essaye	ESSAYER	ESSAYER	Vvc		VM/DS																																													ESSAYER									
3962	?	?	?	Fs		VM/DS																				?																																		
3963	L'	LE	LE	Da		VM/DS										LE																					LE																							
3964	arc	ARC	ARC	Nc		VM/DS																							ARC																															
3965	desbendé	DÉBANDER	DÉBANDER	PAGe		VM/DS																												DÉBANDER													DÉBANDER				DÉBANDER/DÉBONDER/DÉBANDER									
3966	ne	NE	NE	R		VM/DS																																			NE																			
3967	guerit	GUÉRIR	GUÉRIR	Vvc		VM/DS																																													GUÉRIR									
3968	pas	PAS	PAS	R		VM/DS																							PAS												PAS																			
3969	la	LE	LE	Da		VM/DS										LE																					LE																							
3970	playe	PLAIE	PLAIE	Nc		VM/DS																							PLAIE																															
3971	.	.	.	Fs		VM/DS																				.																																		
3972	Cuyderois	CUIDER	CUIDER	Vvc		VM/DS																																													CUIDER									
3973	tu	IL	IL	Pp		VM/DS																															IL																							
3974	que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3975	je	IL	IL	Pp		VM/DS																															IL																							
3976	n'	NE	NE	R		VM/DS																																			NE																			
3977	aye	AVOIR	AVOIR	Vuc		VM/DS																							AYE												AYÉ								AVOIR											
3978	desir	DÉSIR	DÉSIR	Nc		VM/DS																							DÉSIR																															
3979	(	(	(	Fw		VM/DS																			(		(																																	
3980	Mais	MAIS	MAIS	Cc		VM/DS							MAIS																MAI/MAÏS												MAIS																			
3981	bien	BIEN	BIEN	R		VM/DS																																			BIEN																			
3982	aurois	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
3983	tressingulier	TRÈS SINGULIER	TRÈS SINGULIER	E		VM/DS					SINGULIER													TRÈS SINGULIER																																				
3984	plaisir	PLAISIR	PLAISIR	Nc		VM/DS																							PLAISIR																															
3985	)	)	)	Fw		VM/DS																			)		)																																	
3986	D'	DE	DE	S		VM/DS												DE	UN	DU																						DE																		
3987	estre	ÊTRE	ÊTRE	Vun		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3988	avec	AVEC	AVEC	S		VM/DS																																				AVEC																		
3989	toy	LE	LE	Pp		VM/DS																															LE																							
3990	en	EN	EN	S		VM/DS																															EN					EN													EN					
3991	ma	SON	SON	Ds		VM/DS																SON																																						
3992	maison	MAISON	MAISON	Nc		VM/DS																							MAISON																															
3993	paisible	PAISIBLE	PAISIBLE	Aq		VM/DS					PAISIBLE																																																	
3994	?	?	?	Fs		VM/DS																				?																																		
3995	Certes	CERTES	CERTES	R		VM/DS																																			CERTES																			
3996	si	SI	SI	R		VM/DS								SI																											SI																			
3997	ay	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
3998	0	0	0	Fw		VM/DS																					0																																	
3999	mais	MAIS	MAIS	Cc		VM/DS							MAIS																																															
4000	il	IL	IL	Pp		VM/DS																															IL																							
4001	m'	LE	LE	Pp		VM/DS																															LE																							
4002	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
4003	impossible	IMPOSSIBLE	IMPOSSIBLE	Aq		VM/DS					IMPOSSIBLE																																																	
4004	.	.	.	Fs		VM/DS																				.																																		
4005	Comment	COMMENT	COMMENT	R		VM/DS																							COMMENT											COMMENT	COMMENT																			
4006	vivrois	VIVRE	VIVRE	Vvc		VM/DS																																													VIVRE									
4007	je	IL	IL	Pp		VM/DS																															IL																							
4008	en	EN	EN	S		VM/DS																															EN					EN													EN					
4009	aucune	AUCUN	AUCUN	Di		VM/DS												AUCUN																		AUCUN																								
4010	liesse	LIESSE	LIESSE	Nc		VM/DS																							LIESSE																															
4011	En	EN	EN	S		VM/DS																															EN					EN													EN					
4012	sa	SON	SON	Ds		VM/DS																SON																																						
4013	presence	PRÉSENCE	PRÉSENCE	Nc		VM/DS																							PRÉSENCE																															
4014	0	0	0	Fw		VM/DS																					0																																	
4015	&	ET	ET	Cc		VM/DS							ET																																															
4016	sentant	SENTIR	SENTIR	PAGa		VM/DS																											SENTIR																											
4017	sa	SON	SON	Ds		VM/DS																SON																																						
4018	rudesse	RUDESSE	RUDESSE	Nc		VM/DS																							RUDESSE																															
4019	?	?	?	Fs		VM/DS																				?																																		
4020	Ne	NE	NE	R		VM/DS																																			NE																			
4021	penses	PENSER	PENSER	Vvc		VM/DS																																													PENSER									
4022	point	POINT	POINT	R		VM/DS																							POINT												POINT																			
4023	que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
4024	jamais	JAMAIS	JAMAIS	R		VM/DS																																			JAMAIS																			
4025	on	IL	IL	Pp		VM/DS																															IL																							
4026	la	LE	LE	Da		VM/DS										LE																					LE																							
4027	voye	VOIR	VOIR	Vvc		VM/DS																							VOIE																						VOIR									
4028	Moins	MOINS	MOINS	R		VM/DS																																			MOINS																			
4029	rigoureuse	RIGOUREUX	RIGOUREUX	Aq		VM/DS					RIGOUREUX																																																	
4030	0	0	0	Fw		VM/DS																					0																																	
4031	ne	NE	NE	R		VM/DS																																			NE																			
4032	qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
4033	à	À	À	S		VM/DS																																				À																		
4034	mon	SON	SON	Ds		VM/DS																SON																																						
4035	mal	MAL	MAL	Nc		VM/DS																							MAL																															
4036	pourvoye	POURVOIR	POURVOIR	Vvc		VM/DS																																													POURVOIR									
4037	.	.	.	Fs		VM/DS																				.																																		
4038	Ne	NE	NE	R		VM/DS																																			NE																			
4039	penses	PENSER	PENSER	Vvc		VM/DS																																													PENSER									
4040	point	POINT	POINT	R		VM/DS																							POINT												POINT																			
4041	que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
4042	pour	POUR	POUR	S		VM/DS																																				POUR																		
4043	la	LE	LE	Pp		VM/DS										LE																					LE																							
4044	mespriser	MÉPRISER	MÉPRISER	Vvn		VM/DS																																														MÉPRISER								
4045	0	0	0	Fw		VM/DS																					0																																	
4046	Elle	IL	IL	Pp		VM/DS																															IL																							
4047	se	LE	LE	Pp		VM/DS																															LE																							
4048	vueille	VOULOIR	VOULOIR	Vvc		VM/DS					VEULE																																								VOULOIR									
4049	envers	ENVERS	ENVERS	S		VM/DS																																				ENVERS																		
4050	moy	LE	LE	Pp		VM/DS																															LE																							
4051	raviser	RAVISER	RAVISER	Vvn		VM/DS																																														RAVISER								
4052	0	0	0	Fw		VM/DS																					0																																	
4053	Mais	MAIS	MAIS	Cc		VM/DS							MAIS																MAI/MAÏS												MAIS																			
4054	deviendra	DEVENIR	DEVENIR	Vvc		VM/DS																																													DEVENIR									
4055	encores	ENCORE	ENCORE	R		VM/DS																																			ENCORE																			
4056	plus	PLUS	PLUS	R		VM/DS																																			PLUS																			
4057	haultaine	HAUTAIN	HAUTAIN	Aq		VM/DS					HAUTAIN																																																	
4058	0	0	0	Fw		VM/DS																					0																																	
4059	Tant	TANT	TANT	R		VM/DS																																			TANT																			
4060	je	IL	IL	Pp		VM/DS																															IL																							
4061	la	LE	LE	Da		VM/DS										LE																					LE																							
4062	sens	SENTIR	SENTIR	Vvc		VM/DS																							SENS																						SENTIR									
4063	de	DE	DE	S		VM/DS													UN	DU																						DE																		
4064	mes	SON	SON	Ds		VM/DS																SON																																						
4065	desirs	DÉSIR	DÉSIR	Nc		VM/DS																							DÉSIR																															
4066	loingtaine	LOINTAIN	LOINTAIN	Aq		VM/DS					LOINTAIN																																																	
4067	:	:	:	Fw		VM/DS																					:																																	
4068	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
4069	me	LE	LE	Pp		VM/DS																															LE																							
4070	feroit	FAIRE	FAIRE	Vvc		VM/DS																																													FAIRE									
4071	0	0	0	Fw		VM/DS																					0																																	
4072	non	NON	NON	R		VM/DS																																			NON																			
4073	certes	CERTES	CERTES	R		VM/DS																																			CERTES																			
4074	meilleurer	MEILLEURER	MEILLEURER	Vvn		VM/DS					MEILLEUR																																									MEILLEURER								
4075	0	0	0	Fw		VM/DS																					0																																	
