	Mot n°	form	Variante de lemme	lemma	pos	Constellation	Mode Validation	#	A	Ai	Ao	Aq	C	Cc	Cs	D	Da	Dd	Di	Dn	Dp	Dr	Ds	Dt	E	F	Fs	Fw	I	Nc	Np	OUT	P	PAGa	PAGe	Pd	Pi	Pp	Pr	Ps	Pt	R	S	S+D	S+Da	S+Dr	S+Pr	V	Vu	Vuc	Vun	Vvc	Vvn	X	Xe	Xp	Xs	Z	Zc	Zo	Inconnu
3338	3339	soudain	SOUDAIN	SOUDAIN	R		VM/DS																																			SOUDAIN																			
3339	3340	leurs	SON	SON	DETpos		VM/DS																SON																																						
3340	3341	pieds	PIED	PIED	NOMcom		VM/DS																							PIED																															
3341	3342	tendres	TENDRE	TENDRE	Aq		VM/DS					TENDRE																																																	
3342	3343	roidirent	RAIDIR	RAIDIR	Vvc		VM/DS																																													RAIDIR									
3343	3344	0	0	0	PONfbl		VM/DS																					0																																	
3344	3345	Qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
3345	3346	des	DE+LES	DE+LES	S+Da		VM/DS													UN	DU																						DÈS	DE+LES	DE+LES																
3346	3347	arteilz	ORTEIL	ORTEIL	NOMcom		VM/DS																							ORTEIL																															
3347	3348	grand'	GRAND	GRAND	Aq		VM/DS					GRAND																																																	
3348	3349	racine	RACINE	RACINE	NOMcom		VM/DS																							RACINE																						RACINER									
3349	3350	estendirent	ÉTENDRE	ÉTENDRE	Vvc		VM/DS																																													ÉTENDRE									
3350	3351	0	0	0	PONfbl		VM/DS																					0																																	
3351	3352	En	EN	EN	S		VM/DS																															EN					EN													EN					
3352	3353	retardant	RETARDER	RETARDER	PAGa		VM/DS																											RETARDER																											
3353	3354	tout	TOUT	TOUT	S		VM/DS			TOUT									TOUT																		TOUT						TOUT																		
3354	3355	court	COURT	COURT	R		VM/DS																																			COURT										COURIR									
3355	3356	leurs	SON	SON	DETpos		VM/DS																SON																																						
3356	3357	pas	PAS	PAS	NOMcom		VM/DS																							PAS																															
3357	3358	courants	COURIR	COURIR	PAGa		VM/DS					COURANT																		COURANT				COURIR																											
3358	3359	0	0	0	PONfbl		VM/DS																					0																																	
3359	3360	Leurs	SON	SON	DETpos		VM/DS																SON																																						
3360	3361	membres	MEMBRE	MEMBRE	NOMcom		VM/DS																							MEMBRE																															
3361	3362	vifz	VIF	VIF	Aq		VM/DS					VIF																																								VOIR/VIVRE									
3362	3363	subitement	SUBITEMENT	SUBITEMENT	R		VM/DS																																			SUBITEMENT																			
3363	3364	mourants	MOURIR	MOURIR	PAGa		VM/DS																							MOURANT				MOURIR																											
3364	3365	.	.	.	PONfrt		VM/DS																				.																																		
3365	3366	De	DE	DE	S		VM/DS													UN	DU																						DE																		
3366	3367	peu	PEU	PEU	NOMcom		VM/DS																							PEU												PEU																			
3367	3368	à	À	À	S		VM/DS																																				À																		
3368	3369	peu	PEU	PEU	NOMcom		VM/DS																							PEU												PEU																			
3369	3370	(	(	(	PONfbl		VM/DS																			(		(																																	
3370	3371	ô	Ô	Ô	INT		VM/DS																						Ô																																
3371	3372	mortelle	MORTEL	MORTEL	Aq		VM/DS					MORTEL																																																	
3372	3373	douleur	DOULEUR	DOULEUR	NOMcom		VM/DS																							DOULEUR																															
3373	3374	)	)	)	PONfbl		VM/DS																			)		)																																	
3374	3375	Le	LE	LE	DETdef		VM/DS										LE																					LE																							
3375	3376	corps	CORPS	CORPS	NOMcom		VM/DS																							CORPS																															
3376	3377	perdit	PERDRE	PERDRE	Vvc		VM/DS																																													PERDRE									
3377	3378	toute	TOUT	TOUT	DETind		VM/DS			TOUT									TOUT																		TOUT						TOUT																		
3378	3379	vive	VIF	VIF	Aq		VM/DS					VIF																																																	
3379	3380	couleur	COULEUR	COULEUR	NOMcom		VM/DS																							COULEUR																															
3380	3381	:	:	:	PONfbl		VM/DS																					:																																	
3381	3382	L'	LE	LE	DETdef		VM/DS										LE																					LE																							
3382	3383	esprit	ESPRIT	ESPRIT	NOMcom		VM/DS																							ESPRIT																															
3383	3384	troublé	TROUBLER	TROUBLER	PAGe		VM/DS																												TROUBLER																										
3384	3385	çà	ÇÀ	ÇÀ	R		VM/DS																																			ÇÀ																			
3385	3386	&	ET	ET	CONcoo		VM/DS							ET																																															
3386	3387	là	LÀ	LÀ	R		VM/DS																																			LÀ																			
3387	3388	fremissant	FRÉMIR	FRÉMIR	PAGa		VM/DS					FRÉMISSANT																						FRÉMIR																											
3388	3389	Se	LE	LE	PROper		VM/DS																															LE																							
3389	3390	despartit	DÉPARTIR	DÉPARTIR	Vvc		VM/DS																																													DÉPARTIR									
3390	3391	0	0	0	PONfbl		VM/DS																					0																																	
3391	3392	le	LE	LE	DETdef		VM/DS										LE																					LE																							
3392	3393	corps	CORPS	CORPS	NOMcom		VM/DS																							CORPS																															
3393	3394	en	EN	EN	S		VM/DS																															EN					EN													EN					
3394	3395	boys	BOIS	BOIS	NOMcom		VM/DS																							BOIS																															
3395	3396	croissant	CROÎTRE	CROÎTRE	PAGa		VM/DS					CROISSANT																		CROISSANT				CROÎTRE																											
3396	3397	:	:	:	PONfbl		VM/DS																					:																																	
3397	3398	Et	ET	ET	CONcoo		VM/DS							ET																																															
3398	3399	la	LE	LE	DETdef		VM/DS										LE																					LE																							
3399	3400	chaleur	CHALEUR	CHALEUR	NOMcom		VM/DS																							CHALEUR																															
3400	3401	perdit	PERDRE	PERDRE	Vvc		VM/DS																																													PERDRE									
3401	3402	toute	TOUT	TOUT	ADJind		VM/DS			TOUT									TOUT																		TOUT						TOUT																		
3402	3403	sa	SON	SON	DETpos		VM/DS																SON																																						
3403	3404	force	FORCE	FORCE	NOMcom		VM/DS																							FORCE																															
3404	3405	:	:	:	PONfbl		VM/DS																					:																																	
3405	3406	Et	ET	ET	CONcoo		VM/DS							ET																																															
3406	3407	le	LE	LE	DETdef		VM/DS										LE																					LE																							
3407	3408	cuyr	CUIR	CUIR	NOMcom		VM/DS																							CUIR																							CUIRE								
3408	3409	doux	DOUX	DOUX	Aq		VM/DS					DOUX																																																	
3409	3410	devint	DEVENIR	DEVENIR	Vvc		VM/DS																																													DEVENIR									
3410	3411	tresrude	TRÈS RUDE	TRÈS RUDE	E		VM/DS																		TRÈS RUDE					RUT																															
3411	3412	escorce	ÉCORCE	ÉCORCE	NOMcom		VM/DS																							ÉCORCE																															
3412	3413	:	:	:	PONfbl		VM/DS																					:																																	
3413	3414	Leurs	SON	SON	DETpos		VM/DS																SON																																						
3414	3415	blonds	BLOND	BLOND	Aq		VM/DS					BLOND																		BLOND																															
3415	3416	cheveux	CHEVEU	CHEVEU	NOMcom		VM/DS																							CHEVEU																															
3416	3417	furent	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3417	3418	fueilles	FEUILLE	FEUILLE	NOMcom		VM/DS																							FEUILLE																						FEUILLER									
3418	3419	chanues	CHENU	CHENU	Aq		VM/DS					CHENU																																																	
3419	3420	:	:	:	PONfbl		VM/DS																					:																																	
3420	3421	Les	LE	LE	DETdef		VM/DS										LE																					LE																							
3421	3422	blanches	BLANC	BLANC	Aq		VM/DS					BLANC																		BLANCHE																															
3422	3423	mains	MAIN	MAIN	NOMcom		VM/DS																							MAIN																															
3423	3424	en	EN	EN	S		VM/DS																															EN					EN													EN					
3424	3425	rameaux	RAMEAU	RAMEAU	NOMcom		VM/DS																							RAMEAU																															
3425	3426	devenues	DEVENIR	DEVENIR	PAGe		VM/DS																												DEVENIR																										
3426	3427	.	.	.	PONfrt		VM/DS																				.																																		
3427	3428	Finablement	FINALEMENT	FINALEMENT	R		VM/DS																																			FINALEMENT																			
3428	3429	feirent	FAIRE	FAIRE	Vvn		VM/DS																																													FOIRER/FIER/FERRER	FAIRE								
3429	3430	ceste	CE	CE	DETdem		VM/DS											CE												CESTE																															
3430	3431	Saulsaye	SAUSSAIE	SAUSSAIE	NOMcom		VM/DS																							SAUSSAIE																															
3431	3432	0	0	0	PONfbl		VM/DS																					0																																	
3432	3433	Dont	QUE	QUE	PROrel		VM/DS																																QUE																						
3433	3434	par	PAR	PAR	S		VM/DS																																				PAR																		
3434	3435	pitié	PITIÉ	PITIÉ	NOMcom		VM/DS																							PITIÉ																															
3435	3436	il	IL	IL	PROper		VM/DS																															IL																							
3436	3437	fault	FALLOIR	FALLOIR	Vvc		VM/DS																																													FALLOIR									
3437	3438	que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3438	3439	dueil	DEUIL	DEUIL	NOMcom		VM/DS																							DEUIL																															
3439	3440	j'	IL	IL	PROper		VM/DS																															IL																							
3440	3441	en	LE	LE	PROper		VM/DS																															LE					EN													EN					
3441	3442	aye	AVOIR	AVOIR	Vuc		VM/DS																							AYE												AYÉ								AVOIR											
3442	3443	.	.	.	PONfrt		VM/DS																				.																																		
3443	3444	Or	OR	OR	R		VM/DS							OR																OR												OR																			
3444	3445	t'	LE	LE	PROper		VM/DS																															LE																							
3445	3446	ay	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
3446	3447	je	IL	IL	PROper		VM/DS																															IL																							
3447	3448	bien	BIEN	BIEN	R		VM/DS																																			BIEN																			
3448	3449	voulu	VOULOIR	VOULOIR	PAGe		VM/DS																												VOULOIR																										
3449	3450	compter	COMPTER	COMPTER	Vvn		VM/DS																																														COMPTER								
3450	3451	l'	LE	LE	DETdef		VM/DS										LE																					LE																							
3451	3452	histoire	HISTOIRE	HISTOIRE	NOMcom		VM/DS																							HISTOIRE																															
3452	3453	Pour	POUR	POUR	S		VM/DS																																				POUR																		
3453	3454	te	LE	LE	PROper		VM/DS																															LE																							
3454	3455	monstrer	MONTRER	MONTRER	Vvn		VM/DS																																														MONTRER								
3455	3456	par	PAR	PAR	S		VM/DS																																				PAR																		
3456	3457	raison	RAISON	RAISON	NOMcom		VM/DS																							RAISON																															
3457	3458	peremptoire	PÉREMPTOIRE	PÉREMPTOIRE	Aq		VM/DS					PÉREMPTOIRE																																																	
3458	3459	0	0	0	PONfbl		VM/DS																					0																																	
3459	3460	Que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3460	3461	tous	TOUT	TOUT	ADJind		VM/DS			TOUT																											TOUT																								
3461	3462	telz	TEL	TEL	ADJind		VM/DS			TEL		TEL																																								TAIRE									
3462	3463	lieux	LIEU	LIEU	NOMcom		VM/DS																							LIEU																															
3463	3464	se	LE	LE	PROper		VM/DS																															LE																							
3464	3465	voyent	VOIR	VOIR	Vvc		VM/DS																																													VOIR									
3465	3466	convenables	CONVENABLE	CONVENABLE	Aq		VM/DS					CONVENABLE																																																	
3466	3467	A	À	À	S		VM/DS																																				À																		
3467	3468	ceux	CELUI	CELUI	PROdem		VM/DS																													CELUI																									
3468	3469	0	0	0	PONfbl		VM/DS																					0																																	
3469	3470	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
3470	3471	sont	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3471	3472	en	EN	EN	S		VM/DS																															EN					EN													EN					
3472	3473	tout	TOUT	TOUT	PROind		VM/DS			TOUT																											TOUT																								
3473	3474	desraisonnables	DÉRAISONNABLE	DÉRAISONNABLE	Aq		VM/DS					DÉRAISONNABLE																																																	
3474	3475	:	:	:	PONfbl		VM/DS																					:																																	
3475	3476	Car	CAR	CAR	CONcoo		VM/DS							CAR																CAR																															
3476	3477	0	0	0	PONfbl		VM/DS																					0																																	
3477	3478	ne	NE	NE	R		VM/DS																																			NE																			
3478	3479	pouvans	POUVOIR	POUVOIR	PAGa		VM/DS																											POUVOIR																											
3479	3480	à	À	À	S		VM/DS																																				À																		
3480	3481	leur	SON	SON	DETpos		VM/DS																SON																																						
3481	3482	gré	GRÉ	GRÉ	NOMcom		VM/DS																							GRÉ																															
3482	3483	prosperer	PROSPÉRER	PROSPÉRER	Vvn		VM/DS																																														PROSPÉRER								
3483	3484	0	0	0	PONfbl		VM/DS																					0																																	
3484	3485	Viennent	VENIR	VENIR	Vvc		VM/DS																																													VENIR									
3485	3486	icy	ICI	ICI	R		VM/DS																																			ICI																			
3486	3487	pour	POUR	POUR	S		VM/DS																																				POUR																		
3487	3488	se	LE	LE	PROper		VM/DS																															LE																							
3488	3489	desesperer	DÉSESPÉRER	DÉSESPÉRER	Vvn		VM/DS																																														DÉSESPÉRER								
3489	3490	:	:	:	PONfbl		VM/DS																					:																																	
3490	3491	Et	ET	ET	CONcoo		VM/DS							ET																																															
3491	3492	mal	MAL	MAL	R		VM/DS																							MAL												MAL																			
3492	3493	semblable	SEMBLABLE	SEMBLABLE	Aq		VM/DS					SEMBLABLE																																																	
3493	3494	à	À	À	S		VM/DS																																				À																		
3494	3495	ces	CE	CE	DETdem		VM/DS											CE																																											
3495	3496	Nymphes	NYMPHE	NYMPHE	NOMcom		VM/DS																							NYMPHE																															
3496	3497	les	LE	LE	PROper		VM/DS										LE																					LE																							
3497	3498	mord	MORDRE	MORDRE	Vvc		VM/DS																																													MORDRE									
3498	3499	0	0	0	PONfbl		VM/DS																					0																																	
3499	3500	Qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
3500	3501	vindrent	VENIR	VENIR	Vvc		VM/DS																																													VENIR									
3501	3502	cy	ci	ci	R		VM/DS																																			ci																			
3502	3503	pour	POUR	POUR	S		VM/DS																																				POUR																		
3503	3504	se	LE	LE	PROper		VM/DS																															LE																							
3504	3505	donner	DONNER	DONNER	Vvn		VM/DS																																														DONNER								
3505	3506	la	LE	LE	DETdef		VM/DS										LE																					LE																							
3506	3507	mort	MORT	MORT	NOMcom		VM/DS																							MORT																															
3507	3508	.	.	.	PONfrt		VM/DS																				.																																		
3508	3509	Et	ET	ET	CONcoo		VM/DS							ET																																															
3509	3510	certain	CERTAIN	CERTAIN	Aq		VM/DS					CERTAIN							CERTAIN											CERTAIN																													UN		
3510	3511	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3511	3512	0	0	0	PONfbl		VM/DS																					0																																	
3512	3513	comme	COMME	COMME	S		VM/DS							COMME	COMME																											COMME	COMME																		
3513	3514	chose	CHOSE	CHOSE	NOMcom		VM/DS																							CHOSE																															
3514	3515	facile	FACILE	FACILE	Aq		VM/DS					FACILE																																																	
3515	3516	0	0	0	PONfbl		VM/DS																					0																																	
3516	3517	Que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3517	3518	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
3518	3519	vit	VOIR	VOIR	Vvc		VM/DS																																													VOIR									
3519	3520	seul	SEUL	SEUL	Aq		VM/DS					SEUL																																																	
3520	3521	il	IL	IL	PROper		VM/DS																															IL																							
3521	3522	luy	LE	LE	PROper		VM/DS																															LE																							
3522	3523	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3523	3524	difficile	DIFFICILE	DIFFICILE	Aq		VM/DS					DIFFICILE																																																	
3524	3525	Qu'	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3525	3526	avec	AVEC	AVEC	S		VM/DS																																				AVEC																		
3526	3527	le	LE	LE	DETdef		VM/DS										LE																					LE																							
3527	3528	temps	TEMPS	TEMPS	NOMcom		VM/DS																							TEMPS																															
3528	3529	en	EN	EN	S		VM/DS																															EN					EN													EN					
3529	3530	desespoir	DÉSESPOIR	DÉSESPOIR	NOMcom		VM/DS																							DÉSESPOIR																															
3530	3531	ne	NE	NE	R		VM/DS																																			NE																			
3531	3532	meure	MURER	MURER	Vvc		VM/DS																																													MURER									
3532	3533	.	.	.	PONfrt		VM/DS																				.																																		
3533	3534	Car	CAR	CAR	CONcoo		VM/DS							CAR																CAR																															
3534	3535	0	0	0	PONfbl		VM/DS																					0																																	
3535	3536	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
3536	3537	en	EN	EN	S		VM/DS																															EN					EN													EN					
3537	3538	lieu	LIEU	LIEU	NOMcom		VM/DS																							LIEU																															
3538	3539	solitaire	SOLITAIRE	SOLITAIRE	Aq		VM/DS					SOLITAIRE																																																	
3539	3540	demeure	DEMEURER	DEMEURER	Vvc		VM/DS																							DEMEURE/DEMEURÉ																						DEMEURER									
3540	3541	0	0	0	PONfbl		VM/DS																					0																																	
3541	3542	Facilement	FACILEMENT	FACILEMENT	R		VM/DS																																			FACILEMENT																			
3542	3543	tombe	TOMBER	TOMBER	Vvc		VM/DS																							TOMBE																						TOMBER									
3543	3544	en	EN	EN	S		VM/DS																															EN					EN													EN					
3544	3545	tentation	TENTATION	TENTATION	NOMcom		VM/DS																							TENTATION																															
3545	3546	:	:	:	PONfbl		VM/DS																					:																																	
3546	3547	Pource	PARCE QUE	PARCE QUE	CONsub		VM/DS								PARCE QUE															POUCE/PORCHE/PORQUE/PERCE																															
3547	3548	qu'	OUT	OUT	OUT		VM/DS								QUE																	OUT					QUE		QUE			QUE																			
3548	3549	il	IL	IL	PROper		VM/DS																															IL																							
3549	3550	n'	NE	NE	R		VM/DS																																			NE																			
3550	3551	ha	AVOIR	AVOIR	Vuc		VM/DS																																			HA								AVOIR											
3551	3552	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
3552	3553	consolation	CONSOLATION	CONSOLATION	NOMcom		VM/DS																							CONSOLATION																															
3553	3554	0	0	0	PONfbl		VM/DS																					0																																	
3554	3555	Ny	NI	NI	CONcoo		VM/DS							NI																																															
3555	3556	ayde	AIDE	AIDE	NOMcom		VM/DS																							AIDE																															
3556	3557	aussi	AUSSI	AUSSI	R		VM/DS																																			AUSSI																			
3557	3558	luy	LE	LE	PROper		VM/DS																															LE																							
3558	3559	donne	DONNER	DONNER	Vvc		VM/DS																																													DONNER									
3559	3560	0	0	0	PONfbl		VM/DS																					0																																	
3560	3561	ny	NI	NI	CONcoo		VM/DS							NI																																															
3561	3562	confort	CONFORT	CONFORT	NOMcom		VM/DS																							CONFORT																															
3562	3563	.	.	.	PONfrt		VM/DS																				.																																		
3563	3564	Et	ET	ET	CONcoo		VM/DS							ET																																															
3564	3565	n'	NE	NE	R		VM/DS																																			NE																			
3565	3566	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3566	3567	celuy	CELUI	CELUI	PROdem		VM/DS																													CELUI																									
3567	3568	0	0	0	PONfbl		VM/DS																					0																																	
3568	3569	tant	TANT	TANT	R		VM/DS																																			TANT																			
3569	3570	soit	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE		SAVOIR									
3570	3571	constamment	CONSTAMMENT	CONSTAMMENT	R		VM/DS																																			CONSTAMMENT																			
3571	3572	fort	FORT	FORT	Aq		VM/DS					FORT																																																	
3572	3573	0	0	0	PONfbl		VM/DS																					0																																	
3573	3574	Que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3574	3575	vain	VAIN	VAIN	Aq		VM/DS					VAIN																																																	
3575	3576	desir	DÉSIR	DÉSIR	NOMcom		VM/DS																							DÉSIR																															
3576	3577	ne	NE	NE	R		VM/DS																																			NE																			
3577	3578	puisse	POUVOIR	POUVOIR	Vvc		VM/DS																																													POUVOIR									
3578	3579	tost	TÔT	TÔT	R		VM/DS																																			TÔT																			
3579	3580	plier	PLIER	PLIER	Vvn		VM/DS																																														PLIER								
3580	3581	:	:	:	PONfbl		VM/DS																					:																																	
3581	3582	Veu	VOIR	VOIR	PAGe		VM/DS																												VOIR																										
3582	3583	qu'	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE			QUE																			
3583	3584	il	IL	IL	PROper		VM/DS																															IL																							
3584	3585	se	LE	LE	PROper		VM/DS																															LE																							
3585	3586	vient	VENIR	VENIR	Vvc		VM/DS																																													VENIR									
3586	3587	en	EN	EN	S		VM/DS																															EN					EN													EN					
3587	3588	ses	SON	SON	DETpos		VM/DS																SON																																						
3588	3589	lyens	LIEN	LIEN	NOMcom		VM/DS																							LIEN																															
3589	3590	lier	LIER	LIER	Vvn		VM/DS																																														LIER								
3590	3591	.	.	.	PONfrt		VM/DS																				.																																		
3591	3592	Certes	CERTES	CERTES	R		VM/DS																																			CERTES																			
3592	3593	celuy	CELUI	CELUI	PROdem		VM/DS																													CELUI																									
3593	3594	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
3594	3595	bien	BIEN	BIEN	R		VM/DS																																			BIEN																			
3595	3596	aysé	AISÉ	AISÉ	Aq		VM/DS					AISÉ																																																	
3596	3597	à	À	À	S		VM/DS																																				À																		
3597	3598	prendre	PRENDRE	PRENDRE	Vvn		VM/DS																																														PRENDRE								
3598	3599	0	0	0	PONfbl		VM/DS																					0																																	
3599	3600	Qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
3600	3601	donne	DONNER	DONNER	Vvc		VM/DS																																													DONNER									
3601	3602	lieu	LIEU	LIEU	NOMcom		VM/DS																							LIEU																															
3602	3603	0	0	0	PONfbl		VM/DS																					0																																	
3603	3604	&	ET	ET	CONcoo		VM/DS							ET																																															
3604	3605	se	LE	LE	PROper		VM/DS																															LE																							
3605	3606	laisse	LAISSER	LAISSER	Vvc		VM/DS																																													LAISSER									
3606	3607	surprendre	SURPRENDRE	SURPRENDRE	Vvn		VM/DS																																														SURPRENDRE								
3607	3608	.	.	.	PONfrt		VM/DS																				.																																		
3608	3609	Et	ET	ET	CONcoo		VM/DS							ET																																															
3609	3610	pour	POUR	POUR	S		VM/DS																																				POUR																		
3610	3611	autant	AUTANT	AUTANT	R		VM/DS																																			AUTANT																			
3611	3612	retourne	RETOURNER	RETOURNER	Vvc		VM/DS																							RETOURNE																						RETOURNER									
3612	3613	à	À	À	S		VM/DS																																				À																		
3613	3614	toy	LE	LE	PROper		VM/DS																															LE																							
3614	3615	0	0	0	PONfbl		VM/DS																					0																																	
3615	3616	Amy	AMI	AMI	NOMcom		VM/DS					AMI																		AMI																															
3616	3617	:	:	:	PONfbl		VM/DS																					:																																	
3617	3618	Et	ET	ET	CONcoo		VM/DS							ET																																															
3618	3619	ne	NE	NE	R		VM/DS																																			NE																			
3619	3620	permets	PERMETTRE	PERMETTRE	Vvc		VM/DS																																													PERMETTRE									
3620	3621	que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3621	3622	si	SI	SI	R		VM/DS								SI																											SI																			
3622	3623	foible	FAIBLE	FAIBLE	Aq		VM/DS					FAIBLE																																																	
3623	3624	ennemy	ENNEMI	ENNEMI	NOMcom		VM/DS					ENNEMI																		ENNEMI																															
3624	3625	Voise	VOIR	VOIR	Vvc		VM/DS																							VISÉ/VOUÉ/VASE																						VOIR									
3625	3626	sur	SUR	SUR	S		VM/DS																																				SUR																		
3626	3627	toy	LE	LE	PROper		VM/DS																															LE																							
3627	3628	sa	SON	SON	DETpos		VM/DS																SON																																						
3628	3629	puissance	PUISSANCE	PUISSANCE	NOMcom		VM/DS																							PUISSANCE																															
3629	3630	croissant	CROÎTRE	CROÎTRE	PAGa		VM/DS					CROISSANT																		CROISSANT				CROÎTRE																											
3630	3631	0	0	0	PONfbl		VM/DS																					0																																	
3631	3632	Ce	CELUI	CELUI	PROdem		VM/DS											CE																		CELUI		CE																							
3632	3633	qu'	QUE	QUE	PROrel		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3633	3634	il	IL	IL	PROper		VM/DS																															IL																							
3634	3635	peult	POUVOIR	POUVOIR	Vvc		VM/DS																																													POUVOIR									
3635	3636	faire	FAIRE	FAIRE	Vvn		VM/DS																																														FAIRE								
3636	3637	en	EN	EN	S		VM/DS																															EN					EN													EN					
3637	3638	te	LE	LE	PROper		VM/DS																															LE																							
3638	3639	mescongnoissant	MÉCONNAÎTRE	MÉCONNAÎTRE	PAGa		VM/DS																											MÉCONNAÎTRE																											
3639	3640	.	.	.	PONfrt		VM/DS																				.																																		
3640	3641	Et	ET	ET	CONcoo		VM/DS							ET																																															
3641	3642	si	SI	SI	CONsub		VM/DS								SI																											SI																			
3642	3643	tu	IL	IL	PROper		VM/DS																															IL																							
3643	3644	dis	DIRE	DIRE	Vvc		VM/DS																																													DIRE									
3644	3645	que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
3645	3646	l'	LE	LE	DETdef		VM/DS										LE																					LE																							
3646	3647	ardeur	ARDEUR	ARDEUR	NOMcom		VM/DS																							ARDEUR																															
3647	3648	incurable	INCURABLE	INCURABLE	Aq		VM/DS					INCURABLE																																																	
3648	3649	Te	IL	IL	PROper		VM/DS																															IL																							
3649	3650	rend	RENDRE	RENDRE	Vvc		VM/DS																																													RENDRE									
3650	3651	ainsi	AINSI	AINSI	R		VM/DS																																			AINSI																			
3651	3652	dolent	DOLENT	DOLENT	Aq		VM/DS					DOLENT																																								DOLER									
3652	3653	&	ET	ET	CONcoo		VM/DS							ET																																															
3653	3654	miserable	MISÉRABLE	MISÉRABLE	Aq		VM/DS					MISÉRABLE																																																	
3654	3655	:	:	:	PONfbl		VM/DS																					:																																	
3655	3656	Pour	POUR	POUR	S		VM/DS																																				POUR																		
3656	3657	la	LE	LE	PROper		VM/DS										LE																					LE																							
3657	3658	vouloir	VOULOIR	VOULOIR	Vvn		VM/DS																							VOULOIR																							VOULOIR								
3658	3659	estaindre	ÉTEINDRE	ÉTEINDRE	Vvn		VM/DS																																														ÉTEINDRE								
3659	3660	entierement	ENTIÈREMENT	ENTIÈREMENT	R		VM/DS																																			ENTIÈREMENT																			
3660	3661	0	0	0	PONfbl		VM/DS																					0																																	
3661	3662	Certes	CERTES	CERTES	R		VM/DS																																			CERTES																			
3662	3663	il	IL	IL	PROper		VM/DS																															IL																							
3663	3664	fault	FALLOIR	FALLOIR	Vvc		VM/DS																																													FALLOIR									
3664	3665	0	0	0	PONfbl		VM/DS																					0																																	
3665	3666	&	ET	ET	CONcoo		VM/DS							ET																																															
3666	3667	necessairement	NÉCESSAIREMENT	NÉCESSAIREMENT	R		VM/DS																																			NÉCESSAIREMENT																			
3667	3668	Il	IL	IL	PROper		VM/DS																															IL																							
3668	3669	te	LE	LE	PROper		VM/DS																															LE																							
3669	3670	convient	CONVENIR	CONVENIR	Vvc		VM/DS																																													CONVENIR									
3670	3671	chasser	CHASSER	CHASSER	Vvn		VM/DS																																														CHASSER								
3671	3672	oysiveté	OISIVETÉ	OISIVETÉ	NOMcom		VM/DS																							OISIVETÉ																															
3672	3673	0	0	0	PONfbl		VM/DS																					0																																	
3673	3674	Qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
3674	3675	nous	LE	LE	PROper		VM/DS																															LE																							
3675	3676	engendre	ENGENDRER	ENGENDRER	Vvc		VM/DS																																													ENGENDRER									
3676	3677	amour	AMOUR	AMOUR	NOMcom		VM/DS																							AMOUR																															
3677	3678	0	0	0	PONfbl		VM/DS																					0																																	
3678	3679	&	ET	ET	CONcoo		VM/DS							ET																																															
3679	3680	povreté	PAUVRETÉ	PAUVRETÉ	NOMcom		VM/DS																							PAUVRETÉ																															
3680	3681	.	.	.	PONfrt		VM/DS																				.																																		
3681	3682	Car	CAR	CAR	CONcoo		VM/DS							CAR																CAR																															
3682	3683	en	EN	EN	S		VM/DS																															EN					EN													EN					
3683	3684	vivant	VIVRE	VIVRE	PAGa		VM/DS																							VIVANT				VIVRE																											
3684	3685	sans	SANS	SANS	S		VM/DS																																				SANS																		
3685	3686	avoir	AVOIR	AVOIR	Vun		VM/DS																																										AVOIR	AVOIR	AVOIR										
3686	3687	soing	SOIN	SOIN	NOMcom		VM/DS																							SOIN																															
3687	3688	0	0	0	PONfbl		VM/DS																					0																																	
